name,group_name,score,ticker,inception_date,portfolio_date,equity_percentage,holdings
1290 GAMCO Small/Mid Cap Value A,Mid Value,96.45,TNVAX,11/12/2014,6/30/2015,92.36,84
13D Activist A,Mid Growth,94.86,DDDAX,12/28/2011,3/31/2015,91.74,30
1492 Small Cap Core Alpha,Small Growth,98.05,FNTSX,12/29/2011,6/30/2015,95.25,29
AAM/Bahl & Gaynor Income Growth I,Large Blend,75.82,AFNIX,7/5/2012,3/31/2015,97.9,46
AB Concentrated Growth Advisor,Large Growth,87.19,WPSGX,2/28/1994,6/30/2015,99.04,21
AB Core Opportunities A,Large Growth,75.19,ADGAX,12/22/1999,6/30/2015,87.06,56
AB Discovery Growth A,Mid Growth,95.81,CHCLX,7/7/1938,6/30/2015,99.24,95
AB Discovery Value A,Mid Value,91.54,ABASX,3/29/2001,6/30/2015,96.86,92
AB Equity Income A,Large Value,72.12,AUIAX,10/18/1993,6/30/2015,99.96,73
AB Growth and Income A,Large Value,71.62,CABDX,7/1/1932,6/30/2015,92.73,58
AB Growth B,Large Growth,59.6,AGBBX,10/23/1987,6/30/2015,96.5,65
AB Large Cap Growth A,Large Growth,61.22,APGAX,9/28/1992,6/30/2015,92.61,57
AB Select US Equity A,Large Growth,72.21,AUUAX,12/8/2011,6/30/2015,96.56,67
AB Small Cap Growth A,Small Growth,85.1,QUASX,2/12/1969,6/30/2015,99.18,107
AB Value A,Large Value,63.32,ABVAX,3/29/2001,6/30/2015,96.16,120
Aberdeen Small Cap A,Small Growth,92.42,GSXAX,11/2/1998,7/31/2015,97.25,45
Aberdeen US Equity A,Large Growth,83.84,GXXAX,6/30/2000,7/31/2015,99.15,47
Active Port MultiMgr Small Cp Equity A,Small Growth,82.08,CSCEX,4/20/2012,6/30/2015,96.83,347
Active Portfolios Multi-Manager Gr A,Large Growth,70.26,CSLGX,4/20/2012,6/30/2015,98.53,62
Active Portfolios Multi-Manager Value A,Large Value,56.49,CDEIX,4/20/2012,6/30/2015,98.06,362
Acuitas US Microcap Institutional,Small Blend,99.25,AFMCX,7/18/2014,3/31/2015,92.67,139
Adirondack Small Cap,Small Value,94.7,ADKSX,4/5/2005,3/31/2015,93.13,73
